Language,Language (local),Wiki,Articles,Wiki Size (bytes),Uncompressed Wiki Size (bytes),Tokens,In mBERT?
Tatar,татарча/tatarça,tt,"150,741","62,226,495","117,012,177","11,169,207",y
South Azerbaijani,تۆرکجه,azb,"239,507","82,682,420","105,206,059","10,893,086",y
Kyrgyz,Кыргызча,ky,"80,722","32,270,778","119,811,743","10,723,374",y
Marathi,मराठी,mr,"63,033","55,752,385","106,582,614","10,531,427",y
Newar,नेपाल भाषा,new,"72,294","15,435,616","95,578,915","10,368,838",y
Latin,Latina,la,"133,814","82,155,070","63,217,283","10,115,896",y
Khmer,ភាសាខ្មែរ,km,"8,311","26,064,888","119,902,173","9,889,328",n
Punjabi,ਪੰਜਾਬੀ,pa,"34,799","48,254,845","90,903,439","9,848,083",y
Low German,Plattdüütsch,nds,"76,572","38,603,484","52,415,570","9,839,619",y
Breton,brezhoneg,br,"68,680","47,692,112","43,317,667","9,049,686",y
Tagalog,Tagalog,tl,"67,581","56,268,053","48,575,434","8,721,524",y
Alemannic,Alemannisch,als,"27,373","52,413,780","47,483,676","8,670,578",n
Icelandic,íslenska,is,"50,634","43,787,608","51,955,462","8,532,518",y
Gujarati,ગુજરાતી,gu,"29,133","29,458,857","83,476,183","8,497,087",y
Sinhalese,සිංහල,si,"15,874","41,256,507","82,116,044","8,268,697",n
Malagasy,Malagasy,mg,"93,285","24,504,796","43,170,370","7,913,989",y
Luxembourgish,Lëtzebuergesch,lb,"58,845","45,957,958","42,579,079","7,607,731",y
Tajik,тоҷикӣ,tg,"102,711","39,148,708","69,396,832","7,129,512",y
Nepali,नेपाली,ne,"33,489","36,387,656","66,364,580","6,519,689",y
Aragonese,aragonés,an,"38,287","31,362,456","31,222,588","6,408,993",y
Javanese,Jawa,jv,"58,343","42,304,238","38,837,841","6,399,283",y
Swahili,Kiswahili,sw,"59,645","30,319,940","35,200,761","6,195,009",y
Scots,Scots,sco,"42,502","61,611,053","32,334,204","6,185,288",y
Irish,Gaeilge,ga,"53,692","26,888,011","32,624,965","6,182,079",y
Lombard,lumbaart,lmo,"42,995","21,674,996","25,220,016","5,755,715",y
Pashto,پښتو,ps,"11,576","21,535,996","40,162,070","5,311,832",n
Mongolian,монгол,mn,"19,692","31,122,037","57,902,868","5,277,245",n
Ido,Ido,io,"29,813","12,547,930","24,592,222","4,966,626",y
Sundanese,Sunda,su,"60,531","24,174,619","29,636,382","4,927,214",y
Piedmontese,Piemontèis,pms,"64,824","11,988,725","22,055,304","4,853,067",y
Odia,ଓଡ଼ିଆ,or,"15,776","27,411,918","40,474,684","4,111,292",n
Kurdish (Sorani),کوردی,ckb,"27,587","29,356,481","41,916,234","4,035,619",n
